Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-05 17:50:24.695483,185,79,620,-7.81,-105.41,991.37,840.00,-227.50,-350.00
2024-02-05 17:50:24.801209,186,81,741,-7.81,-105.41,991.13,227.50,-192.50,-262.50
2024-02-05 17:50:24.905825,-46,163,0,-7.56,-105.65,991.37,682.50,-227.50,-280.00
2024-02-05 17:50:25.010827,187,86,595,-7.56,-105.53,992.23,1312.50,0.00,-315.00
2024-02-05 17:50:25.116146,187,88,0,-8.05,-105.53,991.13,-595.00,-175.00,-297.50
2024-02-05 17:50:25.221083,187,90,0,-7.81,-105.41,991.37,175.00,-262.50,-315.00
2024-02-05 17:50:25.325649,187,94,0,-7.81,-105.77,991.37,17.50,-210.00,-262.50
2024-02-05 17:50:25.431402,188,96,512,-8.05,-105.65,991.49,1050.00,-192.50,-297.50
2024-02-05 17:50:25.536985,188,98,494,-7.81,-105.90,991.37,857.50,-122.50,-297.50
2024-02-05 17:50:25.642628,188,99,0,-8.05,-105.65,991.25,-122.50,-245.00,-297.50
2024-02-05 17:50:25.747465,188,101,491,-7.93,-106.02,991.13,752.50,-157.50,-297.50
2024-02-05 17:50:25.852675,188,101,483,-8.05,-105.41,991.13,157.50,-210.00,-280.00
2024-02-05 17:50:25.957659,188,101,481,-7.93,-106.14,991.01,752.50,-175.00,-262.50
2024-02-05 17:50:26.062656,188,101,473,-7.93,-105.65,991.13,367.50,-175.00,-262.50
2024-02-05 17:50:26.168193,188,102,473,-7.81,-106.02,991.01,455.00,-210.00,-315.00
2024-02-05 17:50:26.273322,188,101,474,-7.81,-105.41,991.13,595.00,-192.50,-332.50
2024-02-05 17:50:26.377909,188,101,468,-7.81,-105.65,991.01,122.50,-157.50,-227.50
2024-02-05 17:50:26.482844,188,101,478,-7.93,-105.77,991.13,560.00,-175.00,-315.00
2024-02-05 17:50:26.588828,187,98,0,-7.69,-105.65,991.25,175.00,-245.00,-245.00
2024-02-05 17:50:26.693414,187,99,0,-7.93,-106.02,991.25,332.50,-210.00,-192.50
2024-02-05 17:50:26.798451,185,98,478,-8.05,-105.90,991.25,595.00,-192.50,-280.00
