Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 20:13:04.276823,139,85,448,-736.15,216.18,652.46,8435.00,-210.00,-7630.00
2024-03-01 20:13:04.281658,141,85,451,-731.39,219.60,655.51,6825.00,3377.50,-8312.50
2024-03-01 20:13:04.288765,143,83,0,-726.14,223.02,658.19,4672.50,7070.00,-9817.50
2024-03-01 20:13:04.293102,144,86,488,-720.53,226.92,661.24,1347.50,11445.00,-12757.50
2024-03-01 20:13:04.297630,145,86,479,-714.55,232.53,664.66,-2100.00,16940.00,-18042.50
2024-03-01 20:13:04.305371,145,86,467,-709.06,238.39,667.95,-1557.50,24272.50,-25462.50
2024-03-01 20:13:04.310194,145,86,461,-705.40,243.76,668.56,-5635.00,29330.00,-32900.00
2024-03-01 20:13:04.313733,145,87,459,-702.48,249.25,668.80,-7840.00,32935.00,-41965.00
2024-03-01 20:13:04.318143,145,87,453,-700.28,254.25,670.76,-11760.00,38447.50,-50942.50
2024-03-01 20:13:04.325433,144,87,467,-718.82,241.44,643.92,-6492.50,38115.00,-55335.00
2024-03-01 20:13:04.329772,142,87,459,-740.17,238.63,606.83,21542.50,-15067.50,-35787.50
2024-03-01 20:13:04.334526,140,87,429,-745.91,234.73,612.93,4112.50,-26512.50,-37782.50
2024-03-01 20:13:04.342967,136,87,444,-749.20,212.77,638.30,3202.50,-4707.50,-17115.00
2024-03-01 20:13:04.345455,132,85,421,-749.93,210.33,638.43,-6317.50,4602.50,-9887.50
2024-03-01 20:13:04.351224,127,96,0,-751.52,207.89,626.84,-20370.00,-2047.50,-8610.00
2024-03-01 20:13:04.358641,122,84,424,-753.11,190.81,629.52,-26022.50,1960.00,6650.00
2024-03-01 20:13:04.362751,118,83,422,-754.57,170.68,637.33,-28122.50,12775.00,30870.00
2024-03-01 20:13:04.366988,113,81,0,-753.72,156.77,645.99,-24360.00,21490.00,53987.50
2024-03-01 20:13:04.371542,108,80,426,-749.93,155.06,652.33,-16082.50,28962.50,67025.00
2024-03-01 20:13:04.379386,104,78,418,-745.05,162.14,649.77,-16450.00,27912.50,66937.50
2024-03-01 20:13:04.387150,99,77,425,-740.78,165.92,645.38,-17062.50,23852.50,65327.50
2024-03-01 20:13:04.392128,96,75,425,-737.73,162.87,643.79,-6492.50,21892.50,65695.00
